Configuration, Epochs, Learning Rate, Regularization, Momentum, Loss (MSE), Evaluation (MEE)
78, 300, 0.03, 5e-05, 0.03, 6.332092437799899, 2.1482431826491757
79, 300, 0.03, 5e-05, 0.01, 6.998614795895958, 2.2044516018486435
80, 300, 0.03, 3e-05, 0.8, 526188.1561504094, 522.3625709545443
81, 300, 0.03, 3e-05, 0.5, 28.411056193224983, 2.68481033827907
82, 300, 0.03, 3e-05, 0.3, 8.104509979957466, 2.1268000935779625
83, 300, 0.03, 3e-05, 0.1, 6.4404095507490835, 2.1521787748847956
84, 300, 0.03, 3e-05, 0.08, 6.385745039005771, 2.1561810184724246
85, 300, 0.03, 3e-05, 0.05, 6.695362701361114, 2.2224131790242114
86, 300, 0.03, 3e-05, 0.03, 6.2606224967750785, 2.1770193839404555
87, 300, 0.03, 3e-05, 0.01, 6.68838642700469, 2.1328011901970356
88, 300, 0.03, 1e-05, 0.8, 505246.2355104831, 550.348476245527
89, 300, 0.03, 1e-05, 0.5, 27.913872159873364, 2.545106864328885
90, 300, 0.03, 1e-05, 0.3, 8.281820862746894, 2.1322226563806495
91, 300, 0.03, 1e-05, 0.1, 6.682962220558205, 2.117265504456321
92, 300, 0.03, 1e-05, 0.08, 6.511801454654716, 2.1521840097153273
93, 300, 0.03, 1e-05, 0.05, 6.541614087288371, 2.1225179204950395
94, 300, 0.03, 1e-05, 0.03, 6.607868207671338, 2.1494416357183512
95, 300, 0.03, 1e-05, 0.01, 6.70490192731013, 2.209377053809477
96, 300, 0.01, 8e-05, 0.8, 65.35149368872331, 5.143449487145122
97, 300, 0.01, 8e-05, 0.5, 7.641871319723984, 2.225175219129315
98, 300, 0.01, 8e-05, 0.3, 7.201339382509483, 2.1979498152746726
99, 300, 0.01, 8e-05, 0.1, 6.914710187247692, 2.2645804497330353
100, 300, 0.01, 8e-05, 0.08, 6.953118633996065, 2.2769633720173967
101, 300, 0.01, 8e-05, 0.05, 6.745052866755335, 2.318694120183802
102, 300, 0.01, 8e-05, 0.03, 7.13390509746157, 2.2883344488875954
103, 300, 0.01, 8e-05, 0.01, 7.230699220202932, 2.3324744076828585
104, 300, 0.01, 5e-05, 0.8, 27593.708007503545, 11.105634493872344
105, 300, 0.01, 5e-05, 0.5, 8.18994192044107, 2.2395954707240593
106, 300, 0.01, 5e-05, 0.3, 7.331987352835121, 2.232970998935217
107, 300, 0.01, 5e-05, 0.1, 6.9844827146179, 2.2517651372307923
108, 300, 0.01, 5e-05, 0.08, 6.957955285329687, 2.2502633766781353
109, 300, 0.01, 5e-05, 0.05, 7.022507939785461, 2.3141598249113007
