0, 300, 0.8, 0.008, 0.8, 490491.37191811576, 686.6097426481499
1, 300, 0.8, 0.008, 0.5, 505277.41338834836, 693.9417152828948
2, 300, 0.8, 0.008, 0.3, 492575.86499313125, 674.9874718830937
3, 300, 0.8, 0.008, 0.1, 521766.8850843947, 715.9587029232457
4, 300, 0.8, 0.008, 0.08, 489677.00861672004, 682.5284099966668
5, 300, 0.8, 0.008, 0.05, 517511.0748983483, 712.905771429386
6, 300, 0.8, 0.008, 0.03, 516262.16518718546, 713.8441663100878
7, 300, 0.8, 0.008, 0.01, 534968.806820325, 729.4773188425439
8, 300, 0.8, 0.005, 0.8, 513033.09075509245, 701.791953038158
9, 300, 0.8, 0.005, 0.5, 510021.1206156739, 701.5102164337718
10, 300, 0.8, 0.005, 0.3, 522188.19968602265, 706.687877156579
11, 300, 0.8, 0.005, 0.1, 488152.83856661944, 676.9777260139451
12, 300, 0.8, 0.005, 0.08, 519391.3518486971, 714.6861315539475
13, 300, 0.8, 0.005, 0.05, 509020.1213010227, 706.7047772127193
14, 300, 0.8, 0.005, 0.03, 523905.054629046, 721.3666791206141
15, 300, 0.8, 0.005, 0.01, 513485.4083900925, 714.6438825223685
16, 300, 0.8, 0.003, 0.8, 502164.71974997624, 697.8644607671054
17, 300, 0.8, 0.003, 0.5, 498954.3271612553, 707.066511602193
18, 300, 0.8, 0.003, 0.3, 526235.7743531157, 704.1931369399123
19, 300, 0.8, 0.003, 0.1, 498489.0459502805, 683.8436588942129
20, 300, 0.8, 0.003, 0.08, 515085.7668920692, 715.9179642083334
21, 300, 0.8, 0.003, 0.05, 506188.34916218545, 707.9469755679825
22, 300, 0.8, 0.003, 0.03, 524730.5305195111, 719.4012657504387
23, 300, 0.8, 0.003, 0.01, 521468.5685352088, 716.8368350320175
24, 300, 0.8, 0.001, 0.8, 489281.7816302087, 693.5331571381579
25, 300, 0.8, 0.001, 0.5, 472170.85215443745, 669.3641100161453
26, 300, 0.8, 0.001, 0.3, 505643.63876811584, 705.423284207456
27, 300, 0.8, 0.001, 0.1, 492914.29790464806, 678.2443894178925
28, 300, 0.8, 0.001, 0.08, 522270.1598306738, 718.4249810539475
29, 300, 0.8, 0.001, 0.05, 516943.75479648786, 713.6920819407895
30, 300, 0.8, 0.001, 0.03, 508854.82697683666, 712.9407287399124
31, 300, 0.8, 0.001, 0.01, 514580.18110555754, 713.5659012048245
32, 300, 0.5, 0.008, 0.8, 498492.0997581158, 700.9183342162281
33, 300, 0.5, 0.008, 0.5, 496404.1165531158, 703.6784533048244
34, 300, 0.5, 0.008, 0.3, 510967.17046427855, 697.1301684548246
35, 300, 0.5, 0.008, 0.1, 514125.5672906738, 713.8736413618423
36, 300, 0.5, 0.008, 0.08, 512246.3520571856, 713.9273389925439
37, 300, 0.5, 0.008, 0.05, 497675.1359913714, 702.3473918837719
38, 300, 0.5, 0.008, 0.03, 504091.46931613906, 698.7885136092106
39, 300, 0.5, 0.008, 0.01, 509906.43388625525, 704.7110785258772
40, 300, 0.5, 0.005, 0.8, 493155.54920230183, 687.2376407991147
41, 300, 0.5, 0.005, 0.5, 479938.00695672084, 668.9648941662059
42, 300, 0.5, 0.005, 0.3, 492161.49551718554, 699.8067894767545
43, 300, 0.5, 0.005, 0.1, 482729.2066113659, 668.3771179454684
44, 300, 0.5, 0.005, 0.08, 521338.16310311574, 711.5798495124327
45, 300, 0.5, 0.005, 0.05, 500371.9009355575, 705.8547315697368
46, 300, 0.5, 0.005, 0.03, 499861.2293771856, 703.7783219934211
47, 300, 0.5, 0.005, 0.01, 524061.79794125527, 722.4439483995615
48, 300, 0.5, 0.003, 0.8, 508487.55077090656, 677.9256171109649
49, 300, 0.5, 0.003, 0.5, 473677.5635409384, 672.339810488732
50, 300, 0.5, 0.003, 0.3, 516013.6378774181, 714.427832983772
51, 300, 0.5, 0.003, 0.1, 496371.05150695296, 699.4373337785088
52, 300, 0.5, 0.003, 0.08, 504902.86296799936, 709.7606751030703
53, 300, 0.5, 0.003, 0.05, 514699.1011533483, 708.1685778100878
54, 300, 0.5, 0.003, 0.03, 520939.570515325, 711.6775468364034
55, 300, 0.5, 0.003, 0.01, 516826.81912253425, 708.0426949583334
56, 300, 0.5, 0.001, 0.8, 509552.9769549763, 693.7904349285088
57, 300, 0.5, 0.001, 0.5, 497052.69362113904, 692.5763493092106
58, 300, 0.5, 0.001, 0.3, 478824.66985562927, 668.8779539814299
59, 300, 0.5, 0.001, 0.1, 511878.3552867204, 702.2987085416665
60, 300, 0.5, 0.001, 0.08, 525911.2226048599, 721.2911633407895
61, 300, 0.5, 0.001, 0.05, 511617.2743828832, 709.3985768741229
62, 300, 0.5, 0.001, 0.03, 518630.19268427865, 709.9269606986843
63, 300, 0.5, 0.001, 0.01, 508710.7279225343, 705.5386344048245
64, 300, 0.3, 0.008, 0.8, 491990.6443886972, 697.6951186565789
65, 300, 0.3, 0.008, 0.5, 472864.1971488134, 689.2368018416666
66, 300, 0.3, 0.008, 0.3, 514031.67335637147, 709.7686038478071
67, 300, 0.3, 0.008, 0.1, 498954.76252788317, 704.910741902193
68, 300, 0.3, 0.008, 0.08, 518178.3519527669, 719.6391808714912
69, 300, 0.3, 0.008, 0.05, 501436.1003175344, 703.2973098223683
70, 300, 0.3, 0.008, 0.03, 472014.2705771881, 662.1358230740213
71, 300, 0.3, 0.008, 0.01, 515548.50759055756, 712.0068813907894
72, 300, 0.3, 0.005, 0.8, 492945.2775225344, 692.5719629963404
