Configuration, Epochs, Learning Rate, Regularization, Momentum, Loss (MSE), Evaluation (MEE)
0, 300, 0.08, 8e-05, 0.8, 545233.8172557901, 730.8784635098764
1, 300, 0.08, 8e-05, 0.5, 470490.393543264, 686.337533916228
2, 300, 0.08, 8e-05, 0.3, 501469.9984963715, 590.7647125735606
3, 300, 0.08, 8e-05, 0.1, 467839.2789458289, 582.9973704629172
4, 300, 0.08, 8e-05, 0.08, 495160.72072619165, 609.3270442062712
5, 300, 0.08, 8e-05, 0.05, 480201.21740760084, 613.4825341898382
6, 300, 0.08, 8e-05, 0.03, 434459.0823035055, 541.2585262763216
7, 300, 0.08, 8e-05, 0.01, 383722.47795911605, 529.164997311267
8, 300, 0.08, 5e-05, 0.8, 541297.3975698599, 730.8824443171052
9, 300, 0.08, 5e-05, 0.5, 463545.1316905576, 686.016308252609
10, 300, 0.08, 5e-05, 0.3, 477097.94675151893, 515.2825724936297
11, 300, 0.08, 5e-05, 0.1, 481075.513923232, 649.4948935901006
12, 300, 0.08, 5e-05, 0.08, 482724.1493895111, 579.0949275106437
13, 300, 0.08, 5e-05, 0.05, 425230.7789826236, 591.0860210171721
14, 300, 0.08, 5e-05, 0.03, 484980.88342777, 616.5092108009868
15, 300, 0.08, 5e-05, 0.01, 431561.1214916765, 543.6022034819547
16, 300, 0.08, 3e-05, 0.8, 545233.8172557901, 731.1249949460885
17, 300, 0.08, 3e-05, 0.5, 491761.4242542785, 696.9716029036971
18, 300, 0.08, 3e-05, 0.3, 495697.8439402088, 547.8831883362907
19, 300, 0.08, 3e-05, 0.1, 433673.05538921116, 572.7224207905094
20, 300, 0.08, 3e-05, 0.08, 447891.9649275058, 569.1538512932756
21, 300, 0.08, 3e-05, 0.05, 437458.3109648619, 533.2107688896962
22, 300, 0.08, 3e-05, 0.03, 429290.0282073764, 547.260037635367
23, 300, 0.08, 3e-05, 0.01, 443651.1309246177, 467.6685108578823
24, 300, 0.08, 1e-05, 0.8, 545233.8172557901, 722.2040550271519
25, 300, 0.08, 1e-05, 0.5, 485966.9050158787, 671.6276718306437
26, 300, 0.08, 1e-05, 0.3, 444687.22831429366, 492.5137284731585
27, 300, 0.08, 1e-05, 0.1, 499716.95542625524, 606.8351482271812
28, 300, 0.08, 1e-05, 0.08, 430504.5780786189, 577.6531719973698
