Configuration, Epochs, Learning Rate, Regularization, Momentum, Loss (MSE), Evaluation (MEE)
70, 300, 0.03, 8e-05, 0.03, 5.773169663206141, 2.1512362922101307
71, 300, 0.03, 8e-05, 0.01, 5.780838563396936, 2.1247239610403192
72, 300, 0.03, 5e-05, 0.8, 438236.27318637155, 661.4878941223685
73, 300, 0.03, 5e-05, 0.5, 10.350643461882495, 2.1365033084043414
74, 300, 0.03, 5e-05, 0.3, 6.5874011032912865, 2.0590162436870427
75, 300, 0.03, 5e-05, 0.1, 5.863281148658034, 2.0715401411992196
76, 300, 0.03, 5e-05, 0.08, 5.859897451898677, 2.0216526056702286
77, 300, 0.03, 5e-05, 0.05, 5.789488952811631, 2.123287018972064
78, 300, 0.03, 5e-05, 0.03, 6.184174427890563, 2.114992596757181
79, 300, 0.03, 5e-05, 0.01, 5.684160788574215, 2.080613881331683
80, 300, 0.03, 3e-05, 0.8, 438236.27318637155, 661.4878941223685
81, 300, 0.03, 3e-05, 0.5, 8.904309493795644, 2.14237321836531
82, 300, 0.03, 3e-05, 0.3, 6.842294587440878, 2.047869525123637
83, 300, 0.03, 3e-05, 0.1, 5.772103764321767, 2.049135113314333
84, 300, 0.03, 3e-05, 0.08, 5.885108107900967, 2.0460566508098834
85, 300, 0.03, 3e-05, 0.05, 5.804279977235908, 2.131544723751804
86, 300, 0.03, 3e-05, 0.03, 5.82028726547729, 2.084697917222574
87, 300, 0.03, 3e-05, 0.01, 5.706525952495511, 2.1117469655949357
88, 300, 0.03, 1e-05, 0.8, 438236.27318637155, 661.4878941223685
89, 300, 0.03, 1e-05, 0.5, 10.664308078069926, 2.1149136151852126
90, 300, 0.03, 1e-05, 0.3, 6.652775294106201, 2.06315042494929
91, 300, 0.03, 1e-05, 0.1, 5.889929868994526, 2.0855554601630475
92, 300, 0.03, 1e-05, 0.08, 5.916642840851318, 2.0711250336323337
93, 300, 0.03, 1e-05, 0.05, 5.9249269943276754, 2.0686590654766173
94, 300, 0.03, 1e-05, 0.03, 5.605565281218647, 2.0769245452785405
95, 300, 0.03, 1e-05, 0.01, 6.059848872876664, 2.0905248495857873
96, 300, 0.01, 8e-05, 0.8, 35.12893095360413, 3.8513891122638695
97, 300, 0.01, 8e-05, 0.5, 9.135564200859651, 2.4358622791612063
98, 300, 0.01, 8e-05, 0.3, 8.125770181164132, 2.359270841626148
99, 300, 0.01, 8e-05, 0.1, 7.38123211401367, 2.3271245423343476
100, 300, 0.01, 8e-05, 0.08, 7.426994584118025, 2.33487879082115
101, 300, 0.01, 8e-05, 0.05, 7.21472780103294, 2.3232793165301944
102, 300, 0.01, 8e-05, 0.03, 7.313185051329019, 2.351039960965142
103, 300, 0.01, 8e-05, 0.01, 7.379727688936614, 2.377304925093522
104, 300, 0.01, 5e-05, 0.8, 33.04981409595652, 3.750660517279705
105, 300, 0.01, 5e-05, 0.5, 9.068744024924438, 2.4803488829230687
106, 300, 0.01, 5e-05, 0.3, 8.045434979685492, 2.3730162291509176
107, 300, 0.01, 5e-05, 0.1, 7.465825224032997, 2.358200360222771
108, 300, 0.01, 5e-05, 0.08, 7.439708987622249, 2.329158803309298
109, 300, 0.01, 5e-05, 0.05, 7.29078723579989, 2.2995981343666023
110, 300, 0.01, 5e-05, 0.03, 7.188743650708889, 2.3518900408113277
111, 300, 0.01, 5e-05, 0.01, 7.315478145973127, 2.348460781227592
112, 300, 0.01, 3e-05, 0.8, 38.190291124844016, 4.120403778717804
113, 300, 0.01, 3e-05, 0.5, 9.01607962062469, 2.4685969913868084
114, 300, 0.01, 3e-05, 0.3, 7.944997485109269, 2.401776693716937
115, 300, 0.01, 3e-05, 0.1, 7.291800247147554, 2.2835252091133285
116, 300, 0.01, 3e-05, 0.08, 7.341667576337514, 2.324095528589747
117, 300, 0.01, 3e-05, 0.05, 7.277961843696798, 2.34241727258757
118, 300, 0.01, 3e-05, 0.03, 7.368014744921692, 2.300571567137605
119, 300, 0.01, 3e-05, 0.01, 7.361574479821949, 2.39310174530801
120, 300, 0.01, 1e-05, 0.8, 41.14750282153234, 4.078104032748339
121, 300, 0.01, 1e-05, 0.5, 8.913026384992275, 2.441571573209494
122, 300, 0.01, 1e-05, 0.3, 7.877624459026346, 2.34595687105927
123, 300, 0.01, 1e-05, 0.1, 7.49066205471434, 2.3004534999787736
124, 300, 0.01, 1e-05, 0.08, 7.308186467973203, 2.3379887295413506
125, 300, 0.01, 1e-05, 0.05, 7.686049598989619, 2.4360941743265907
126, 300, 0.01, 1e-05, 0.03, 7.295454286544826, 2.3080170143261105
127, 300, 0.01, 1e-05, 0.01, 7.26720700146632, 2.287358330997455
128, 300, 0.008, 8e-05, 0.8, 26.374774450041837, 3.522501541850424
129, 300, 0.008, 8e-05, 0.5, 10.420569957335013, 2.7402710033871402
130, 300, 0.008, 8e-05, 0.3, 8.712009114870922, 2.5267554953118507
131, 300, 0.008, 8e-05, 0.1, 8.30906674285019, 2.4214084274923957
132, 300, 0.008, 8e-05, 0.08, 8.222121294998622, 2.4952598122188383
133, 300, 0.008, 8e-05, 0.05, 7.944380185872069, 2.4324271139386315
134, 300, 0.008, 8e-05, 0.03, 7.3633346812836376, 2.387036551732961
